path,top_level,required_area,role,extension,file_name,size_bytes,line_count,git_blob_sha,index_control_note,action_decision
"""docs/design_spec/valor_pack_snapshot/source_zip/VAL\342\214\200R_v1.zip""","""docs","""docs",Other tracked repository file,".zip""","200R_v1.zip""",,,43548ceecda5584d24ba5fcf1ed17365cc32eb97,Tracked file outside the primary required index areas.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
.github/ISSUE_TEMPLATE/bug_report.md,.github,.github,Issue template,.md,bug_report.md,832,52,09141fb147c93e4a8d4fc5d23c854b9252610cca,GitHub public/review surface; not roadmap authority.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
.github/ISSUE_TEMPLATE/design_question.md,.github,.github,Issue template,.md,design_question.md,789,40,7dc3b8d9cdc6e5790586b4bbf234ac8745d7bd70,GitHub public/review surface; not roadmap authority.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
.github/ISSUE_TEMPLATE/documentation.md,.github,.github,Issue template,.md,documentation.md,765,43,9d32845b7ec420b870b92651ef30641930039c64,GitHub public/review surface; not roadmap authority.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
.github/PULL_REQUEST_TEMPLATE.md,.github,.github,Pull request template,.md,PULL_REQUEST_TEMPLATE.md,1276,57,58491e9e68585416ce20edd3207e7d869aaa45a9,Canonical PR body template surface.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
.gitignore,.,root,Root repository file,,.gitignore,143,12,ecde4ded8c8d9c544c04a8cec5fa0bec40e4c574,"Repository-level control, configuration, documentation, or packaging surface.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
ARCHITECTURE_GUARDRAILS.md,.,root,Root repository file,.md,ARCHITECTURE_GUARDRAILS.md,777,19,14a67db3387c21d39381da4827adb8461d1b8b6b,"Repository-level control, configuration, documentation, or packaging surface.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
CODE_OF_CONDUCT.md,.,root,Root repository file,.md,CODE_OF_CONDUCT.md,2916,97,7d62195b41f822dd6d49aaa8c487e3f586d286cd,"Repository-level control, configuration, documentation, or packaging surface.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
CONTRIBUTING.md,.,root,Root repository file,.md,CONTRIBUTING.md,6409,226,79e8ac9b39459a43ef3e3f5a5f4b249fb28407fb,"Repository-level control, configuration, documentation, or packaging surface.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
LICENSE,.,root,Root repository file,,LICENSE,35821,674,e72bfddabc15be5718a7cc061ac10e47741d8219,"Repository-level control, configuration, documentation, or packaging surface.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
PROGRESS_TRACKER.md,.,root,Root repository file,.md,PROGRESS_TRACKER.md,14717,437,44172cf40354e3b3d603c7a4f4a6c8f78f6cf22c,"Repository-level control, configuration, documentation, or packaging surface.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
README.md,.,root,Root repository file,.md,README.md,8289,212,7d8f236041102020877fc48f7d56b4aeb7599d9d,"Repository-level control, configuration, documentation, or packaging surface.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
ROADMAP_CANONICAL.md,.,root,Root repository file,.md,ROADMAP_CANONICAL.md,82177,1522,317517708fd0e8c87e55f3ece91f788ed175e108,"Repository-level control, configuration, documentation, or packaging surface.","Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/__init__.py,asbp,asbp,Runtime module,.py,__init__.py,23,1,3dc1f76bc69e3f559bee6253b24fc93acee9e1f9,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/__main__.py,asbp,asbp,Runtime module,.py,__main__.py,74,4,c01ebd234bdaa5770508cea09d9855d112b55236,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/adapters/__init__.py,asbp,asbp,Runtime module,.py,__init__.py,162,5,1f2e705bc829ee73e0a79f81f4c66e782a4c3409,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/adapters/cli.py,asbp,asbp,Runtime module,.py,cli.py,168,5,b23056bb6adf6441f547c6eddba0a1ec07999e48,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/ai_evaluation/__init__.py,asbp,asbp,Runtime module,.py,__init__.py,12441,311,bf70a5e17d4ff272a32ce203e225ad1ee9f60e51,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
asbp/ai_evaluation/evaluation_baseline.py,asbp,asbp,Runtime module,.py,evaluation_baseline.py,25004,697,cc5d6ba0b09401c7ee459df94955eb3a6dcd3242,Python implementation module.,"Index only — no cleanup, deletion, archive, move, rename, promotion, or canonicalization."
